name,python,java,ruby,c
Sarah Valdez,85,13,25,8
Dustin Howard,30,40,28,47
Kelsey Jordan,83,14,95,37
Alex Stewart,91,9,12,81
Jamie Davis,7,36,28,13
Donna Warner,35,75,97,56
Tiffany Villarreal,87,88,28,20
Alexa Norris,68,51,12,7
Tamara Austin,56,83,45,6
Stacy Wood,68,34,28,89
Alexandra Gross,72,10,14,23
Tracy Hart,33,68,22,14
Jeffrey Turner,44,44,68,43
Danny Carpenter,54,37,68,7
Jose Chambers,73,76,45,25
Ashley Martinez,81,65,72,24
Cody Arias,12,67,33,65
Cody Frank,67,77,9,13
Dr. Nicole Lane,10,19,2,45
Michael Porter,93,50,91,28
Jessica Thompson,3,91,57,96
Rachel Thornton,95,90,85,84
Janet Lee,36,19,71,15
Renee Mcneil,66,40,70,95
Robert Kent,32,85,47,48
Grant Campbell,24,73,24,56
Chad Garrett,44,32,79,99
Stephanie Andrews,15,78,75,33
Mitchell Clark,22,49,39,15
Dr. Christian Morgan,37,53,97,54
Michelle Rios,38,24,2,17
Nicole Flores,51,87,95,54
Norma Khan,61,8,75,14
Ann Wells,78,83,49,1
Anthony Ward,38,35,52,57
Jeremy Rose,91,100,98,32
Greg Hubbard,51,33,22,78
Natalie Henderson,46,9,24,76
Amanda Perez,91,88,34,34
Katherine Ramirez,64,14,73,40
Michelle Gutierrez,51,55,13,97
James Armstrong,24,79,14,33
Jerome Hickman,24,57,81,15
Dean Waters,100,37,89,67
Shannon Adams,97,50,29,43
Thomas Williams,34,58,45,81
David Garcia,8,80,68,80
Melissa Johnson,6,41,83,87
Wendy Aguilar,38,61,7,74
Heather Smith,3,36,92,77
Robert Mclaughlin,19,44,13,8
David Nixon,8,72,81,30
Tiffany Martin,81,72,1,51
Jason Lyons,25,4,27,13
Timothy Montoya,70,78,91,58
Bobby Hansen,29,67,26,27
Kevin Mendez,20,14,78,64
Michael Buck,78,93,28,67
Shelby Williams,43,67,63,37
Frank Anderson,20,18,25,68
Raymond Martinez,10,20,25,2
Olivia Garcia,34,7,90,68
Robert George,37,85,17,91
Erin Richards,46,86,96,77
George Armstrong,35,74,44,44
Mark Miles,71,69,12,58
Isaiah Nixon,85,33,28,75
Dennis Kaiser,37,9,95,35
Joseph Klein,99,85,58,4
Spencer Savage,65,68,17,11
Michael Brown IV,71,85,15,79
Joseph Meadows,18,87,24,96
Kevin Gonzalez,96,32,18,91
Laura Cook,33,83,92,94
Shannon Holden,14,98,86,4
Kristina Reed,49,31,30,5
Lisa Ramos,48,92,50,18
Ruben Cook,24,12,51,16
Stephanie Jones,54,46,43,22
Zoe Skinner,58,76,95,21
Margaret Singh,9,6,93,53
Brandon King,90,31,30,1
David Clark,65,76,85,42
Angela Russell,98,74,1,50
Megan Miller,7,97,93,32
Angel Francis,61,74,32,28
William Sheppard,78,46,76,78
Nancy Jackson,72,65,100,1
James Myers,35,93,60,69
Marisa Shaw,15,47,65,12
Kenneth Roberts,68,45,48,40
Hailey Parrish,2,81,61,33
Kevin Fernandez,99,28,55,18
Jennifer Roberts,18,67,60,98
Frank Robles,11,21,10,85
William Powers,93,64,29,39
Daniel Duke,66,34,12,2
Matthew Smith,76,2,99,1
Thomas Glass,57,65,40,50
Matthew Donovan,32,20,90,4
